Company Name,Status,Ship Date,City,State,Zip,Shipping Service,Created Date,Weight,Item/Bottle Count,Zone
Ecom1,In Transit,2/1/2021,COLORADO SPGS,CO,80905,FEH,1/31/2021,10.5,3,
Ecom1,Delivered,2/1/2021,Fort Worth,TX,76107,FEH,1/31/2021,10.5,3,
Ecom1,Delivered,2/1/2021,Vashon,WA,98070,FEH,1/31/2021,10.5,3,
Ecom1,Delivered,2/1/2021,Toledo,OH,43607,FEH,1/31/2021,10.5,3,
Ecom1,In Transit,2/1/2021,Frederick,MD,21704,FEH,1/31/2021,39,12,
Ecom1,Delivered,2/1/2021,Elko,MN,55020,FEH,1/31/2021,10.5,3,
Ecom1,Delivered,2/1/2021,North Chesterfield,VA,23237,FEH,1/31/2021,10.5,3,
Ecom1,In Transit,2/1/2021,Mount Pleasant,SC,29464,FXG,1/31/2021,10.5,3,
Ecom1,Delivered,2/1/2021,Berkeley,CA,94710,FEH,1/31/2021,10.5,3,
Ecom1,Delivered,2/1/2021,Cambria,CA,93428,FEH,1/31/2021,10.5,3,
Ecom1,Delivered,2/1/2021,SEcom1sea,MA,2777,FEH,1/31/2021,10.5,3,
Ecom1,Delivered,2/1/2021,Miami,FL,33131,FEH,1/31/2021,10.5,3,
Ecom1,Delivered,2/1/2021,Elk Grove,IL,60007,FEH,1/31/2021,39,12,
Ecom1,Delivered,2/1/2021,Glen Cove,NY,11542,FEH,1/31/2021,10.5,3,
Ecom1,Delivered,2/1/2021,Clearwater,FL,33764,FEH,1/31/2021,10.5,3,
Ecom1,Delivered,2/1/2021,Barton,VT,5822,FEH,1/31/2021,14,4,
Ecom1,Delivered,2/1/2021,Santa Fe,NM,87501,FEH,1/31/2021,10.5,3,
Ecom1,Delivered,2/1/2021,Saint Petersburg,FL,33701,FEH,1/31/2021,10.5,3,
Ecom1,Delivered,2/1/2021,Phila.,PA,19129,FEH,1/31/2021,10.5,3,
Ecom1,Delivered,2/1/2021,New Bern,NC,28560,FEH,1/31/2021,10.5,3,
Ecom1,Delivered,2/1/2021,Edina,MN,55424,FEH,1/31/2021,10.5,3,
Ecom1,Delivered,2/1/2021,red oak,TX,75154,FEH,1/31/2021,10.5,3,
Ecom1,Delivered,2/1/2021,CARLSBAD,CA,92011-3255,FEH,2/1/2021,39,12,
Ecom1,Delivered,2/1/2021,MERCED,CA,95340,FXG,2/1/2021,10.5,3,
Ecom1,Delivered,2/3/2021,Astoria,NY,11106,FEH,2/1/2021,10.5,3,
Ecom1,Delivered,2/3/2021,Muncy Valley,PA,17758,FEH,2/1/2021,20.2,6,
Ecom1,Delivered,2/3/2021,Huntington,WV,25704,FEH,2/1/2021,10.5,3,
Ecom1,Delivered,2/3/2021,Long Island City,NY,11101,FXG,2/1/2021,10.5,3,
Ecom1,Delivered,2/3/2021,Beaver,PA,15009,FEH,2/1/2021,20.2,6,
Ecom1,In Transit,2/3/2021,Mobile,AL,36607,UPS,2/1/2021,20.2,6,
Ecom1,Delivered,2/3/2021,Philadelphia,PA,19146,FEH,2/1/2021,10.5,3,
Ecom1,Delivered,2/3/2021,Elk River,MN,55330,FEH,2/1/2021,20.2,6,
Ecom1,Delivered,2/1/2021,Orinda,CA,94563,FEH,2/1/2021,20.2,6,
Ecom1,Delivered,2/1/2021,Burbank,CA,91501,FEH,2/1/2021,10.5,3,
