Company Name,Ship Date,City,State,Shipping Service,Created Date,Weight,Item/Bottle Count
1,43952.87146,4984,44,1,43952.43852,30.0,9
5,43952.87145,1975,41,9,43948.74731,10.5,3
5,43952.87145,3012,41,9,43948.44301,20.2,6
5,43952.87145,585,9,9,43948.44302,20.2,6
5,43952.87145,4848,9,9,43948.44303,14.0,4
5,43952.87145,2554,41,9,43952.41813,20.2,6
5,43952.87145,3257,18,9,43952.41814,39.0,12
5,43952.87145,3257,18,9,43952.41814,14.0,4
5,43952.87145,5838,18,9,43952.41814,20.2,6
5,43952.87145,2465,41,9,43952.41815,20.2,6
5,43952.87145,522,9,9,43952.41815,7.0,2
5,43952.87145,530,14,9,43952.4561,27.0,8
5,43952.87145,3979,4,9,43952.45611,27.0,8
4,43952.87141,240,5,9,43948.67998,14.0,4
4,43952.87141,2135,22,9,43948.68006,14.0,4
4,43952.87141,4859,9,9,43948.67999,17.2,5
4,43952.87145,2388,38,9,43949.58098,14.0,4
4,43952.87141,95,42,9,43948.68019,14.0,4
4,43952.87142,3843,42,9,43949.49704,14.0,4
4,43952.87145,971,14,9,43949.58097,14.0,4
4,43952.87141,118,10,9,43948.68001,14.0,4
4,43952.87141,5388,41,9,43948.68017,14.0,4
4,43952.87141,5826,36,9,43948.68015,14.0,4
4,43952.87141,156,12,9,43948.68001,14.0,4
4,43952.87142,933,25,9,43949.49845,14.0,4
4,43952.87141,3802,32,9,43948.68009,14.0,4
4,43952.87141,4300,3,0,43948.6799,14.0,4
4,43952.87141,3723,9,9,43948.67998,14.0,4
4,43952.87149,4728,23,9,43948.68007,39.0,12
4,43952.87149,4728,23,9,43948.68007,7.0,2
4,43952.87149,3718,13,9,43948.68001,10.5,3
4,43952.87149,3718,13,9,43948.68001,4.0,1
4,43952.87141,3067,18,9,43948.68005,20.2,6
4,43952.87149,3312,10,9,43948.68,39.0,12
4,43952.87141,241,41,9,43948.68016,39.0,12
4,43952.87147,4300,3,0,43948.6799,14.0,4
4,43952.87147,5426,3,0,43948.6799,14.0,4
4,43952.87147,5522,3,0,43948.67988,14.0,4
4,43952.87147,191,41,9,43948.68016,39.0,12
4,43952.87141,3802,32,9,43948.68008,39.0,12
4,43952.87149,5442,41,9,43948.68015,27.0,8
4,43952.87141,5442,41,9,43948.68015,4.0,1
4,43952.87141,4438,33,9,43948.6801,27.0,8
4,43952.87141,6173,14,9,43948.68003,7.0,2
4,43952.87141,225,10,9,43948.68,20.2,6
4,43952.87147,3540,32,9,43948.68008,39.0,12
4,43952.87141,4079,9,9,43948.67998,10.5,3
4,43952.87141,2740,23,9,43948.68006,39.0,12
4,43952.87142,3788,17,9,43949.49529,20.2,6
4,43952.87141,2584,45,9,43948.6802,20.2,6
4,43952.87147,4972,3,0,43948.67987,10.5,1
4,43952.87141,133,41,9,43948.68015,39.0,12
4,43952.87147,6048,22,9,43948.68006,20.2,6
4,43952.87141,6212,14,9,43948.68002,20.2,6
4,43952.87141,1313,14,9,43948.68002,39.0,12
4,43952.87142,3605,25,9,43949.38787,7.0,2
4,43952.87142,1341,5,9,43949.38789,10.5,3
4,43952.87145,4533,39,9,43949.39146,7.0,2
1,43952.61865,5291,14,1,43950.89606,10.5,3
1,43952.40016,640,32,1,43949.77116,10.5,3
1,43952.61862,933,25,1,43950.52115,20.2,6
1,43952.87149,1072,41,1,43947.43884,30.0,9
1,43952.40016,1083,19,1,43948.43785,39.0,12
1,43952.40017,2120,32,4,43948.7712,39.0,12
1,43952.40016,2545,12,1,43948.77123,20.2,6
1,43952.40016,2081,21,1,43949.43793,4.0,1
1,43952.40016,4531,18,1,43949.77117,10.5,3
1,43952.40017,515,23,4,43949.7712,39.0,12
1,43952.40016,4421,32,1,43949.7712,20.2,6
1,43952.40016,5375,32,1,43949.77126,20.2,6
1,43952.40016,5532,29,1,43949.77131,10.5,3
1,43952.40016,2508,19,1,43949.77134,10.5,3
1,43952.40016,2974,6,1,43949.77142,27.0,8
1,43952.61863,5859,36,1,43950.43781,39.0,12
1,43952.61862,2524,14,1,43950.43782,10.5,3
1,43952.61862,1806,45,1,43950.43782,39.0,12
1,43952.61862,1806,45,1,43950.43782,10.5,3
1,43952.61862,971,14,4,43950.43784,10.5,3
1,43952.61865,95,42,1,43950.43785,39.0,12
